doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1055/a-1034-0923,closed,closed,"1864-6697,1864-6743",Zeitschrift für Orthopädie und Unfallchirurgie,Georg Thieme Verlag KG,2019-10-28
10.1007/s11325-017-1491-8,closed,closed,"1520-9512,1522-1709",Sleep and Breathing,Springer Science and Business Media LLC,2017-03-31
10.1093/cid/ciy538,hybrid,hybrid,"1058-4838,1537-6591",Clinical Infectious Diseases,Oxford University Press (OUP),2018-06-29
10.1097/eja.0000000000000690,closed,closed,0265-0215,European Journal of Anaesthesiology,Ovid Technologies (Wolters Kluwer Health),2017-11-01
10.2196/mhealth.7703,gold,gold,2291-5222,JMIR mHealth and uHealth,JMIR Publications Inc.,2017-09-20
10.1038/s41598-020-61625-8,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2020-03-16
10.1007/s00127-016-1327-z,closed,closed,"0933-7954,1433-9285",Social Psychiatry and Psychiatric Epidemiology,Springer Science and Business Media LLC,2016-12-31
10.1007/s00406-017-0818-6,closed,closed,"0940-1334,1433-8491",European Archives of Psychiatry and Clinical Neuroscience,Springer Science and Business Media LLC,2017-06-14
10.3390/nu9101097,gold,gold,2072-6643,Nutrients,MDPI AG,2017-10-06
10.1007/s00406-020-01109-y,hybrid,hybrid,"0940-1334,1433-8491",European Archives of Psychiatry and Clinical Neuroscience,Springer Science and Business Media LLC,2020-02-15
10.1016/j.gie.2018.08.014,closed,closed,0016-5107,Gastrointestinal Endoscopy,Elsevier BV,2019-03-01
10.3233/thc-191891,bronze,bronze,"0928-7329,1878-7401",Technology and Health Care,IOS Press,2020-01-13
10.1186/s12891-015-0592-4,gold,gold,1471-2474,BMC Musculoskeletal Disorders,Springer Science and Business Media LLC,2015-05-28
10.1155/2018/9784259,gold,gold,"2314-6133,2314-6141",BioMed Research International,Hindawi Limited,2018-09-18
10.3851/imp3049,closed,closed,1359-6535,Antiviral therapy,SAGE Publications,2016-01-01
10.1055/s-0037-1598655,hybrid,hybrid,"0736-6825,1098-8793",Facial Plastic Surgery,Georg Thieme Verlag KG,2017-04-01
10.3390/nu9060629,gold,gold,2072-6643,Nutrients,MDPI AG,2017-06-19
10.1055/s-0042-110933,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2016-07-21
10.1016/s1474-4422(18)30203-5,green,green,1474-4422,The Lancet Neurology,Elsevier BV,2018-08-01
10.1186/s12888-019-2273-6,gold,gold,1471-244X,BMC Psychiatry,Springer Science and Business Media LLC,2019-09-18
10.1016/j.athoracsur.2015.01.050,closed,closed,0003-4975,The Annals of Thoracic Surgery,Elsevier BV,2015-06-01
10.1111/jce.13206,closed,closed,1045-3873,Journal of Cardiovascular Electrophysiology,Wiley,2017-04-21
10.1111/aas.12523,closed,closed,0001-5172,Acta Anaesthesiologica Scandinavica,Wiley,2015-05-12
10.1016/s1474-4422(19)30141-3,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2019-08-01
10.1055/s-0034-1392329,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2015-06-30
10.1016/s0140-6736(17)32155-4,green,green,0140-6736,The Lancet,Elsevier BV,2017-10-01
10.1016/j.ahj.2016.08.007,closed,closed,0002-8703,American Heart Journal,Elsevier BV,2016-12-01
10.1080/09638288.2016.1242174,closed,closed,"0963-8288,1464-5165",Disability and Rehabilitation,Informa UK Limited,2016-10-28
10.1016/j.ahj.2015.04.001,closed,closed,0002-8703,American Heart Journal,Elsevier BV,2015-07-01
10.1093/ndt/gfv311,closed,closed,"0931-0509,1460-2385",Nephrology Dialysis Transplantation,Oxford University Press (OUP),2015-09-01
10.1038/s41598-018-23209-5,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2018-03-20
10.1161/strokeaha.120.029279,bronze,bronze,"0039-2499,1524-4628",Stroke,Ovid Technologies (Wolters Kluwer Health),2020-08-01
10.1038/s41598-018-33459-y,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2018-10-24
10.1016/s1473-3099(16)30274-2,hybrid,hybrid,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2017-01-01
10.1016/s1474-4422(19)30142-5,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2019-07-01
10.1016/j.ejca.2018.02.008,closed,closed,0959-8049,European Journal of Cancer,Elsevier BV,2018-05-01
10.1097/qad.0000000000001362,green,green,0269-9370,AIDS,Ovid Technologies (Wolters Kluwer Health),2017-02-20
10.1007/s12630-019-01475-9,bronze,bronze,"0832-610X,1496-8975",Canadian Journal of Anesthesia/Journal canadien d'anesthésie,Springer Science and Business Media LLC,2019-09-17
10.1055/a-0886-6384,gold,gold,"2364-3722,2196-9736",Endoscopy International Open,Georg Thieme Verlag KG,2019-07-01
10.1016/j.jcin.2017.04.024,bronze,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2017-07-01
10.1371/journal.pone.0151614,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2016-03-17
10.1111/jgh.13010,closed,closed,0815-9319,Journal of Gastroenterology and Hepatology,Wiley,2015-10-12
10.1016/j.atherosclerosis.2017.02.019,closed,closed,0021-9150,Atherosclerosis,Elsevier BV,2017-04-01
10.1016/j.gie.2014.09.035,closed,closed,0016-5107,Gastrointestinal Endoscopy,Elsevier BV,2015-04-01
10.1016/j.jaci.2017.09.052,hybrid,hybrid,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2018-08-01
10.2196/jmir.4660,gold,gold,1438-8871,Journal of Medical Internet Research,JMIR Publications Inc.,2015-10-14
10.1002/ijc.32282,bronze,bronze,"0020-7136,1097-0215",International Journal of Cancer,Wiley,2019-04-29
10.1080/09537104.2016.1190007,closed,closed,"0953-7104,1369-1635",Platelets,Informa UK Limited,2016-06-08
10.1001/jama.2014.15305,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2014-11-19
10.1200/jco.18.00052,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2019-01-01
10.1161/jaha.117.006321,gold,gold,2047-9980,Journal of the American Heart Association,Ovid Technologies (Wolters Kluwer Health),2017-07-01
10.1161/circulationaha.116.025329,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2017-06-06
10.1093/eurheartj/ehu182,closed,closed,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2014-05-09
10.1186/s40425-018-0324-z,gold,gold,2051-1426,Journal for ImmunoTherapy of Cancer,BMJ,2018-02-27
10.1161/circinterventions.112.000087,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2013-06-01
10.1093/eurheartj/ehu523,closed,closed,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2015-01-23
10.1016/s1470-2045(14)70330-4,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2014-09-01
10.3945/ajcn.2008.27091,closed,closed,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2009-04-22
10.1111/ijcp.13272,gold,gold,1368-5031,International Journal of Clinical Practice,Hindawi Limited,2018-10-17
10.3389/fimmu.2018.01560,gold,gold,1664-3224,Frontiers in Immunology,Frontiers Media SA,2018-07-09
10.1093/eurheartj/ehy176,hybrid,hybrid,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2018-03-20
10.1016/j.jaad.2019.01.052,hybrid,hybrid,0190-9622,Journal of the American Academy of Dermatology,Elsevier BV,2019-05-01
10.1016/j.bbmt.2018.10.020,hybrid,hybrid,1083-8791,Biology of Blood and Marrow Transplantation,Elsevier BV,2019-04-01
10.1002/ana.25151,closed,closed,0364-5134,Annals of Neurology,Wiley,2018-02-01
10.1007/s00134-015-3897-8,closed,closed,"0342-4642,1432-1238",Intensive Care Medicine,Springer Science and Business Media LLC,2015-06-13
10.1007/s10549-019-05280-2,closed,closed,"0167-6806,1573-7217",Breast Cancer Research and Treatment,Springer Science and Business Media LLC,2019-05-21
10.1007/s00277-019-03651-9,closed,closed,"0939-5555,1432-0584",Annals of Hematology,Springer Science and Business Media LLC,2019-03-21
10.1016/j.brat.2016.12.015,green,green,0005-7967,Behaviour Research and Therapy,Elsevier BV,2017-03-01
10.1159/000356323,closed,closed,"1015-9770,1421-9786",Cerebrovascular Diseases,S. Karger AG,2014-01-01
10.1111/aos.13359,bronze,bronze,1755-375X,Acta Ophthalmologica,Wiley,2017-01-13
10.1016/j.jsxm.2020.05.002,closed,closed,1743-6095,The Journal of Sexual Medicine,Elsevier BV,2020-08-01
10.2174/1874325001307010133,hybrid,hybrid,1874-3250,The Open Orthopaedics Journal,Bentham Science Publishers Ltd.,2013-05-03
10.1186/s12888-016-1181-2,gold,gold,1471-244X,BMC Psychiatry,Springer Science and Business Media LLC,2017-01-18
10.1007/s10877-019-00435-4,closed,closed,"1387-1307,1573-2614",Journal of Clinical Monitoring and Computing,Springer Science and Business Media LLC,2019-11-30
10.3389/fneur.2017.00494,gold,gold,1664-2295,Frontiers in Neurology,Frontiers Media SA,2017-09-21
10.1016/j.bjane.2015.09.007,gold,gold,0104-0014,Brazilian Journal of Anesthesiology (English Edition),Elsevier BV,2017-03-01
10.1097/sla.0000000000002485,closed,closed,"0003-4932,1528-1140",Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2018-06-01
10.1016/j.ejca.2020.01.025,hybrid,hybrid,0959-8049,European Journal of Cancer,Elsevier BV,2020-05-01
10.3389/fnins.2018.00068,gold,gold,1662-453X,Frontiers in Neuroscience,Frontiers Media SA,2018-02-20
10.1038/s41598-019-48686-0,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2019-08-22
10.3389/fonc.2019.00605,gold,gold,2234-943X,Frontiers in Oncology,Frontiers Media SA,2019-07-03
10.1007/s00702-016-1588-4,closed,closed,"0300-9564,1435-1463",Journal of Neural Transmission,Springer Science and Business Media LLC,2016-06-17
10.5966/sctm.2015-0002,gold,gold,"2157-6564,2157-6580",Stem Cells Translational Medicine,Oxford University Press (OUP),2015-06-03
10.1038/srep22302,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2016-03-01
10.1111/jdv.13391,hybrid,hybrid,"0926-9959,1468-3083",Journal of the European Academy of Dermatology and Venereology,Wiley,2015-09-29
10.1016/j.clcc.2018.07.011,closed,closed,1533-0028,Clinical Colorectal Cancer,Elsevier BV,2018-12-01
10.1007/s00264-015-3077-z,closed,closed,"0341-2695,1432-5195",International Orthopaedics,Springer Science and Business Media LLC,2016-01-04
10.1200/jco.2019.37.15_suppl.8037,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2019-05-20
10.3233/jad-160771,closed,closed,"1387-2877,1875-8908",Journal of Alzheimer's Disease,IOS Press,2017-04-19
10.1007/s00391-018-01501-3,closed,closed,"0948-6704,1435-1269",Zeitschrift für Gerontologie und Geriatrie,Springer Science and Business Media LLC,2019-01-14
10.1186/s12891-019-2540-1,gold,gold,1471-2474,BMC Musculoskeletal Disorders,Springer Science and Business Media LLC,2019-04-09
10.1016/j.hrthm.2015.01.040,hybrid,hybrid,1547-5271,Heart Rhythm,Elsevier BV,2015-05-01
10.1177/0300060517701355,gold,gold,"0300-0605,1473-2300",Journal of International Medical Research,SAGE Publications,2017-04-28
10.1093/eurheartj/ehv292,bronze,green,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2015-06-25
10.1016/j.ebiom.2017.07.022,gold,gold,2352-3964,EBioMedicine,Elsevier BV,2017-08-01
10.1080/09546634.2019.1573306,closed,closed,"0954-6634,1471-1753",Journal of Dermatological Treatment,Informa UK Limited,2019-02-03
10.1016/s0140-6736(16)32127-4,green,green,0140-6736,The Lancet,Elsevier BV,2017-02-01
10.1016/j.ijcard.2017.12.107,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2018-04-01
10.3920/bm2017.0018,closed,closed,"1876-2883,1876-2891",Beneficial Microbes,Wageningen Academic Publishers,2018-01-29
10.1136/gutjnl-2018-316023,closed,closed,"0017-5749,1468-3288",Gut,BMJ,2018-05-05
10.1007/s40257-017-0339-0,closed,closed,"1175-0561,1179-1888",American Journal of Clinical Dermatology,Springer Science and Business Media LLC,2018-02-02
10.1155/2016/3468015,gold,gold,"2314-6133,2314-6141",BioMed Research International,Hindawi Limited,2016-01-01
10.1093/humrep/dex019,bronze,bronze,"0268-1161,1460-2350",Human Reproduction,Oxford University Press (OUP),2017-02-09
10.1016/j.ijnurstu.2019.03.017,hybrid,hybrid,0020-7489,International Journal of Nursing Studies,Elsevier BV,2019-08-01
10.1186/s12871-015-0153-2,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2015-11-26
10.1055/a-0639-5070,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2018-07-19
10.1371/journal.pone.0140584,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-10-26
10.1200/jco.2015.64.0862,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-02-20
10.1016/j.invent.2014.12.003,gold,gold,2214-7829,Internet Interventions,Elsevier BV,2015-03-01
10.1111/bjd.15152,hybrid,hybrid,0007-0963,British Journal of Dermatology,Wiley,2017-03-01
10.1097/eja.0000000000000369,closed,closed,0265-0215,European Journal of Anaesthesiology,Ovid Technologies (Wolters Kluwer Health),2016-05-01
10.1111/bjd.14947,hybrid,hybrid,0007-0963,British Journal of Dermatology,Wiley,2016-11-15
10.1159/000445355,hybrid,hybrid,"0033-3190,1423-0348",Psychotherapy and Psychosomatics,S. Karger AG,2016-01-01
10.1213/ane.0000000000002735,closed,closed,0003-2999,Anesthesia & Analgesia,Ovid Technologies (Wolters Kluwer Health),2018-05-01
10.1161/strokeaha.114.006059,bronze,bronze,"0039-2499,1524-4628",Stroke,Ovid Technologies (Wolters Kluwer Health),2014-08-01
10.1200/jco.2014.58.4631,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2015-04-10
10.1111/pedi.12777,closed,closed,"1399-543X,1399-5448",Pediatric Diabetes,Wiley,2018-10-10
10.1016/s1470-2045(15)00615-4,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2016-04-01
10.1056/nejmoa1710261,bronze,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2017-12-21
10.1155/2020/2416582,gold,gold,"1741-427X,1741-4288",Evidence-Based Complementary and Alternative Medicine,Hindawi Limited,2020-01-31
10.3390/nu11030656,gold,gold,2072-6643,Nutrients,MDPI AG,2019-03-18
10.1093/ajcn/nqy307,bronze,bronze,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2019-02-01
10.1002/mnfr.201700838,closed,closed,1613-4125,Molecular Nutrition & Food Research,Wiley,2018-03-01
10.1016/j.apergo.2019.05.018,closed,closed,0003-6870,Applied Ergonomics,Elsevier BV,2019-10-01
10.15496/publikation-24421,NA,NA,NA,NA,NA,NA
10.1002/bjs.10829,closed,closed,"0007-1323,1365-2168",British Journal of Surgery,Oxford University Press (OUP),2018-03-26
10.1016/j.brs.2019.10.007,gold,gold,1935-861X,Brain Stimulation,Elsevier BV,2020-01-01
10.1093/ajcn/nqy077,bronze,green,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2018-06-18
10.1016/j.parkreldis.2017.03.016,closed,closed,1353-8020,Parkinsonism &amp; Related Disorders,Elsevier BV,2017-06-01
10.1016/j.bjps.2017.06.016,closed,closed,1748-6815,"Journal of Plastic, Reconstructive &amp; Aesthetic Surgery",Elsevier BV,2017-11-01
10.1038/s41598-017-19112-0,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2018-01-23
10.1093/cid/ciy1140,hybrid,hybrid,"1058-4838,1537-6591",Clinical Infectious Diseases,Oxford University Press (OUP),2019-01-10
10.1159/000501338,closed,closed,"1661-7800,1661-7819",Neonatology,S. Karger AG,2019-01-01
10.2196/15725,gold,gold,1438-8871,Journal of Medical Internet Research,JMIR Publications Inc.,2020-04-24
10.1007/s00394-019-01940-7,closed,closed,"1436-6207,1436-6215",European Journal of Nutrition,Springer Science and Business Media LLC,2019-03-11
10.2337/db16-1380,closed,closed,"0012-1797,1939-327X",Diabetes,American Diabetes Association,2017-02-07
10.1016/s1473-3099(17)30139-1,hybrid,hybrid,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2017-06-01
10.1097/iae.0000000000002006,closed,closed,0275-004X,Retina,Ovid Technologies (Wolters Kluwer Health),2019-04-01
10.1515/bmt-2014-0126,closed,closed,"1862-278X,0013-5585",Biomedical Engineering / Biomedizinische Technik,Walter de Gruyter GmbH,2015-01-01
10.1111/os.12446,gold,gold,"1757-7853,1757-7861",Orthopaedic Surgery,Wiley,2019-04-01
10.1007/s00404-016-4211-x,hybrid,hybrid,"0932-0067,1432-0711",Archives of Gynecology and Obstetrics,Springer Science and Business Media LLC,2016-11-14
10.1200/jco.2015.33.15_suppl.10056,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2015-05-20
10.1055/a-0637-1725,closed,closed,"0172-4614,1438-8782",Ultraschall in der Medizin - European Journal of Ultrasound,Georg Thieme Verlag KG,2018-07-05
10.3389/fnins.2019.00725,gold,gold,1662-453X,Frontiers in Neuroscience,Frontiers Media SA,2019-07-10
10.1016/j.appet.2017.01.032,green,green,0195-6663,Appetite,Elsevier BV,2017-05-01
10.1186/s40635-019-0277-7,gold,gold,2197-425X,Intensive Care Medicine Experimental,Springer Science and Business Media LLC,2019-12-01
10.2147/opth.s140064,gold,gold,1177-5483,Clinical Ophthalmology,Informa UK Limited,2017-08-01
10.1200/jco.2016.34.15_suppl.e21077,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-05-20
10.1038/s41408-019-0206-8,gold,gold,2044-5385,Blood Cancer Journal,Springer Science and Business Media LLC,2019-04-01
10.1007/s00125-015-3760-z,bronze,bronze,"0012-186X,1432-0428",Diabetologia,Springer Science and Business Media LLC,2015-09-24
10.1186/s12931-019-1091-1,gold,gold,1465-993X,Respiratory Research,Springer Science and Business Media LLC,2019-07-05
10.1016/s2215-0366(17)30291-2,closed,closed,2215-0366,The Lancet Psychiatry,Elsevier BV,2017-09-01
10.1016/j.jcf.2017.02.003,bronze,bronze,1569-1993,Journal of Cystic Fibrosis,Elsevier BV,2017-05-01
10.1159/000505001,green,green,"0030-3747,1423-0259",Ophthalmic Research,S. Karger AG,2019-11-26
10.2337/dc14-2319,closed,closed,"0149-5992,1935-5548",Diabetes Care,American Diabetes Association,2015-03-20
10.1038/s41540-017-0012-5,gold,gold,2056-7189,npj Systems Biology and Applications,Springer Science and Business Media LLC,2017-03-28
10.1001/jamapediatrics.2016.2681,bronze,bronze,2168-6203,JAMA Pediatrics,American Medical Association (AMA),2017-01-01
10.1111/dom.13268,closed,closed,"1462-8902,1463-1326","Diabetes, Obesity and Metabolism",Wiley,2018-03-22
10.1111/bjd.14222,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2016-01-09
10.1007/s00262-016-1944-0,closed,closed,"0340-7004,1432-0851","Cancer Immunology, Immunotherapy",Springer Science and Business Media LLC,2016-12-22
10.1158/1078-0432.ccr-18-0244,closed,closed,"1078-0432,1557-3265",Clinical Cancer Research,American Association for Cancer Research (AACR),2018-09-14
10.1093/annonc/mdw290,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2016-10-01
10.1136/bjophthalmol-2017-310156,closed,closed,"0007-1161,1468-2079",British Journal of Ophthalmology,BMJ,2017-09-13
10.1007/s00402-015-2370-z,closed,closed,"0936-8051,1434-3916",Archives of Orthopaedic and Trauma Surgery,Springer Science and Business Media LLC,2015-11-27
10.1177/1932296817730380,bronze,green,"1932-2968,1932-2968",Journal of Diabetes Science and Technology,SAGE Publications,2017-09-21
10.1080/03007995.2018.1491832,closed,closed,"0300-7995,1473-4877",Current Medical Research and Opinion,Informa UK Limited,2018-07-19
10.1007/s00405-017-4714-5,closed,closed,"0937-4477,1434-4726",European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,2017-08-20
10.1007/s13300-018-0392-6,gold,gold,"1869-6953,1869-6961",Diabetes Therapy,Springer Science and Business Media LLC,2018-03-03
10.1111/jcpp.12853,green,green,0021-9630,Journal of Child Psychology and Psychiatry,Wiley,2017-12-05
10.1177/2050640617723810,bronze,green,"2050-6406,2050-6414",United European Gastroenterology Journal,Wiley,2018-03-01
10.1185/03007995.2016.1146666,closed,closed,"0300-7995,1473-4877",Current Medical Research and Opinion,Informa Healthcare,2016-02-23
10.1002/mds.27963,closed,closed,"0885-3185,1531-8257",Movement Disorders,Wiley,2020-01-22
10.1016/s1474-4422(18)30176-5,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2018-08-01
10.1182/blood-2017-12-818948,bronze,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2018-06-14
10.1111/jcpp.12640,closed,closed,0021-9630,Journal of Child Psychology and Psychiatry,Wiley,2016-09-28
10.1128/aac.00259-15,green,green,"0066-4804,1098-6596",Antimicrobial Agents and Chemotherapy,American Society for Microbiology,2015-10-01
10.1080/10428194.2017.1390236,closed,closed,"1042-8194,1029-2403",Leukemia & Lymphoma,Informa UK Limited,2017-10-24
10.1038/s41375-019-0395-y,hybrid,hybrid,"0887-6924,1476-5551",Leukemia,Springer Science and Business Media LLC,2019-02-06
10.1038/leu.2016.299,closed,closed,"0887-6924,1476-5551",Leukemia,Springer Science and Business Media LLC,2016-10-24
10.1038/s41375-018-0129-6,closed,closed,"0887-6924,1476-5551",Leukemia,Springer Science and Business Media LLC,2018-04-17
10.3389/fphar.2019.00838,gold,gold,1663-9812,Frontiers in Pharmacology,Frontiers Media SA,2019-07-25
10.1136/bmjopen-2018-026345,gold,gold,"2044-6055,2044-6055",BMJ Open,BMJ,2020-03-01
10.1002/jper.19-0393,green,green,"0022-3492,1943-3670",Journal of Periodontology,Wiley,2020-02-26
10.1111/jicd.12399,hybrid,hybrid,"2041-1618,2041-1626",Journal of Investigative and Clinical Dentistry,Wiley,2019-01-30
10.1530/ec-19-0024,gold,gold,2049-3614,Endocrine Connections,Bioscientifica,2019-04-01
10.1097/aln.0000000000002133,closed,closed,0003-3022,Anesthesiology,Ovid Technologies (Wolters Kluwer Health),2018-06-01
10.1016/j.brs.2016.11.007,closed,closed,1935-861X,Brain Stimulation,Elsevier BV,2017-03-01
10.3171/2014.7.jns132611,closed,closed,"0022-3085,1933-0693",Journal of Neurosurgery,Journal of Neurosurgery Publishing Group (JNSPG),2014-11-01
10.3324/haematol.2017.182865,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2018-04-26
10.3324/haematol.2014.117945,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2015-01-30
10.1016/j.radonc.2019.08.026,closed,closed,0167-8140,Radiotherapy and Oncology,Elsevier BV,2019-12-01
10.1093/eurheartj/ehz134,hybrid,hybrid,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2019-04-08
10.1055/s-0042-100952,closed,closed,"0932-0555,1439-1236",Sportverletzung · Sportschaden,Georg Thieme Verlag KG,2016-04-11
10.1007/s00406-018-0929-8,closed,closed,"0940-1334,1433-8491",European Archives of Psychiatry and Clinical Neuroscience,Springer Science and Business Media LLC,2018-07-28
10.1007/s00337-015-0084-5,closed,closed,"0025-2514,1433-0466",Manuelle Medizin,Springer Science and Business Media LLC,2016-01-13
10.1088/1361-6579/ab668f,closed,closed,1361-6579,Physiological Measurement,IOP Publishing,2020-02-05
10.1038/s41390-020-01114-w,bronze,green,"0031-3998,1530-0447",Pediatric Research,Springer Science and Business Media LLC,2020-09-12
10.1016/j.ejpb.2020.03.018,closed,closed,0939-6411,European Journal of Pharmaceutics and Biopharmaceutics,Elsevier BV,2020-06-01
10.25593/978-3-96147-095-2,NA,NA,NA,NA,NA,NA
10.1007/s00103-018-2789-9,hybrid,hybrid,"1436-9990,1437-1588",Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,Springer Science and Business Media LLC,2018-07-25
10.1080/10410236.2018.1431760,closed,closed,"1041-0236,1532-7027",Health Communication,Informa UK Limited,2018-02-01
10.1007/s10396-010-0263-x,closed,closed,"1346-4523,1613-2254",Journal of Medical Ultrasonics,Springer Science and Business Media LLC,2010-04-23
10.1080/10715762.2018.1440293,closed,closed,"1071-5762,1029-2470",Free Radical Research,Informa UK Limited,2018-03-15
10.1007/s10120-016-0618-0,bronze,bronze,"1436-3291,1436-3305",Gastric Cancer,Springer Science and Business Media LLC,2016-06-02
10.3390/jcm9051486,gold,gold,2077-0383,Journal of Clinical Medicine,MDPI AG,2020-05-15
10.1055/a-0891-3505,closed,closed,"0034-3536,1439-1309",Die Rehabilitation,Georg Thieme Verlag KG,2019-05-20
10.4172/2167-0846.1000343,NA,NA,NA,NA,NA,NA
10.1186/s12938-018-0526-0,gold,gold,1475-925X,BioMedical Engineering OnLine,Springer Science and Business Media LLC,2018-07-13
10.1007/s00392-020-01701-1,hybrid,hybrid,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2020-07-10
10.3238/arztebl.2016.0347,green,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2016-05-20
10.1016/j.jcrs.2017.06.041,closed,closed,0886-3350,Journal of Cataract and Refractive Surgery,Ovid Technologies (Wolters Kluwer Health),2017-09-01
10.1016/j.jcrs.2017.04.038,closed,closed,0886-3350,Journal of Cataract and Refractive Surgery,Ovid Technologies (Wolters Kluwer Health),2017-07-01
10.3390/nu12030688,gold,gold,2072-6643,Nutrients,MDPI AG,2020-03-04
10.1186/s12903-016-0264-2,gold,gold,1472-6831,BMC Oral Health,Springer Science and Business Media LLC,2016-08-02
10.1017/s0007114517000241,bronze,bronze,"0007-1145,1475-2662",British Journal of Nutrition,Cambridge University Press (CUP),2017-03-14
10.1055/s-0035-1548858,closed,closed,"0941-3790,1439-4421",Das Gesundheitswesen,Georg Thieme Verlag KG,2015-04-28
10.1002/ejp.1089,hybrid,hybrid,1090-3801,European Journal of Pain,Wiley,2017-08-14
10.1016/j.jcms.2016.12.018,closed,closed,1010-5182,Journal of Cranio-Maxillofacial Surgery,Elsevier BV,2017-03-01
10.1186/s12967-019-1801-y,gold,gold,1479-5876,Journal of Translational Medicine,Springer Science and Business Media LLC,2019-02-22
10.3390/nu11102294,gold,gold,2072-6643,Nutrients,MDPI AG,2019-09-26
10.1007/s00384-018-3204-6,closed,closed,"0179-1958,1432-1262",International Journal of Colorectal Disease,Springer Science and Business Media LLC,2018-12-05
10.1007/s00417-020-04618-7,hybrid,hybrid,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2020-02-28
10.3238/arztebl.2016.0525,green,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2016-08-08
10.3238/arztebl.2018.0785,green,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2018-11-23
10.3109/14767058.2014.991917,closed,closed,"1476-7058,1476-4954",The Journal of Maternal-Fetal &amp; Neonatal Medicine,Informa UK Limited,2015-01-09
10.1038/s41598-019-53050-3,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2019-11-14
10.1111/myc.12495,closed,closed,0933-7407,Mycoses,Wiley,2016-03-02
